"id","name"
"63.03.14.2003",Sei/Sungai Batang Ilir
"63.03.14.2004",Sungai Ranggas
"63.03.14.2005",Panggalaman (Penggalaman)
"63.03.14.2006",Keliling Benteng Ulu
"63.03.14.2007",Antasan Sutun
"63.03.14.2008",Sungai Ranggas Ulu
"63.03.14.2009",Sungai Ranggas Hambuku
"63.03.14.2010",Keliling Benteng Tengah
"63.03.14.2011",Teluk Selong Ulu (Telok Selong Ulu)
"63.03.14.2012",Tangkas
"63.03.14.2013",Sungai Ranggas Tengah
"63.03.15.2001",Pekauman
"63.03.15.2002",Keramat
"63.03.15.2003",Antasan Senor
"63.03.15.2004",Tambak Anyar
"63.03.15.2005",Melayu (Melayu Ulu)
"63.03.15.2006",Melayu Ilir
"63.03.15.2007",Akar Begantung Ulu (Akar Bagantung)
"63.03.15.2008",Dalam Pagar
"63.03.15.2009",Tambak Anyar Ulu
"63.03.15.2010",Pematang Baru
"63.03.15.2011",Melayu Tengah
"63.03.15.2012",Akar Baru
"63.03.15.2013",Dalam Pagar Ulu
"63.03.15.2014",Pekauman Ulu
"63.03.15.2015",Mekar
"63.03.15.2016",Tambak Anyar Ilir
"63.03.15.2017",Sei/Sungai Kitano
"63.03.15.2018",Keramat Baru
"63.03.15.2019",Pekauman Dalam
"63.03.15.2020",Antasan Senor Ilir
"63.03.16.2001",Madurejo
"63.03.16.2002",Baliangin
"63.03.16.2003",Gunung Batu
"63.03.16.2004",Batang Banyu
"63.03.16.2005",Sei/Sungai Lurus
"63.03.16.2006",Batu Tanam
"63.03.16.2007",Pasar Baru
"63.03.17.2001",Paramasan Atas (Peramasan Atas)
"63.03.17.2002",Paramasan Bawah (Peramasan Bawah)
"63.03.17.2003",Remo
"63.03.17.2004",Angkipih
"63.03.18.2001",Rantau Bujur
"63.03.18.2002",Lok Tanah (Loktanah)
"63.03.18.2003",Telaga Baru
"63.03.18.2004",Rampah
"63.03.19.2001",Tatah Bangkal
"63.03.19.2002",Bangkal Tengah
"63.03.19.2003",Layap Baru
"63.03.19.2004",Tatah Layap
"63.03.19.2005",Mekar Sari
"63.03.19.2006",Pandan Sari
"63.03.19.2007",Tampang Awang
"63.03.19.2008",Pemangkih Darat
"63.03.19.2009",Pemangkih Baru
"63.03.19.2010",Pemangkih Tengah
"63.03.19.2011",Jaruju
"63.03.19.2012",Jaruju Laut
"63.03.19.2013",Taibah Raya
"63.03.20.2001",Keramat Mina
"63.03.20.2002",Garis Hanyar
"63.03.20.2003",Cintapuri
"63.03.20.2004",Surian Hanyar
"63.03.20.2005",Benua Anyar
"63.03.20.2006",Alalak Padang
"63.03.20.2007",Makmur Karya
"63.03.20.2008",Simpang Lima
"63.03.20.2009",Karya Makmur
"63.03.20.2010",Sindang Jaya
"63.03.20.2011",Sumber Sari
"63.04.01.2001",Kuala Lupak
"63.04.01.2002",Sei/Sungai Telan Besar
"63.04.01.2003",Sei/Sungai Telan Kecil
"63.04.01.2004",Tabunganen Muara
"63.04.01.2005",Tabunganen Tengah
"63.04.01.2006",Karya Baru
"63.04.01.2007",Tabunganen Perumus (Tabunganen Pemurus)
"63.04.01.2008",Sei/Sungai Teras Dalam
"63.04.01.2009",Sei/Sungai Jingah Besar
"63.04.01.2010",Tabunganen Kecil
"63.04.01.2011",Sei/Sungai Teras Luar
"63.04.01.2012",Sei/Sungai Telan Muara
"63.04.01.2013",Beringin Kencana
"63.04.01.2014",Tanggul Rejo
"63.04.02.2001",Purwosari II
"63.04.02.2002",Purwosari I
"63.04.02.2003",Tamban Bangun
"63.04.02.2004",Tamban Muara
"63.04.02.2005",Tamban Kecil
"63.04.02.2006",Tinggiran II Luar (Tinggiran Luar II)
"63.04.02.2007",Jelapat I
"63.04.02.2008",Tamban Muara Baru
"63.04.02.2009",Purwosari Baru
"63.04.02.2010",Sekata Baru
"63.04.02.2011",Koanda
"63.04.02.2012",Damsari
"63.04.02.2013",Sidorejo
"63.04.02.2014",Jelapat Baru
"63.04.02.2015",Tamban Bangun Baru
